"Table 2a: Estimated population of settlements by broad age groups, mid-2012",,,,,,,,
,,,,,,,,
Settlement Name,Settlement Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Muirkirk,S20000866," 1,540 ", 241 , 974 , 325 ,,,
Murthly,S20000867, 510 , 104 , 300 , 106 ,,,
Muthill,S20000868, 760 , 129 , 464 , 167 ,,,
Nairn,S20000869," 9,860 "," 1,705 "," 5,944 "," 2,211 ",,,
Neilston,S20000870," 5,310 ", 978 ," 3,511 ", 821 ,,,
Netherburn,S20000871, 760 , 150 , 534 , 76 ,,,
Nethy Bridge,S20000872, 660 , 114 , 397 , 149 ,,,
New Cumnock,S20000873," 2,840 ", 401 ," 1,764 ", 675 ,,,
New Deer,S20000874, 660 , 96 , 417 , 147 ,,,
New Pitsligo,S20000875," 1,150 ", 228 , 718 , 204 ,,,
Newburgh (Aberdeenshire),S20000876," 1,470 ", 267 , 984 , 219 ,,,
Newburgh (Fife),S20000877," 2,060 ", 330 ," 1,272 ", 458 ,,,
Newcastleton,S20000878, 770 , 97 , 438 , 235 ,,,
Newmachar,S20000879," 2,510 ", 561 ," 1,667 ", 282 ,,,
Newmilns,S20000880," 2,980 ", 509 ," 1,902 ", 569 ,,,
Newport-on-Tay and Wormit,S20000881," 4,250 ", 718 ," 2,539 ", 993 ,,,
Newton Stewart,S20000882," 4,010 ", 653 ," 2,373 ", 984 ,,,
Newtonhill,S20000883," 3,040 ", 611 ," 1,996 ", 433 ,,,
Newtonmore,S20000884," 1,100 ", 164 , 679 , 257 ,,,
Newtown St Boswells,S20000885," 1,330 ", 226 , 854 , 250 ,,,
Newtyle,S20000886, 730 , 105 , 469 , 156 ,,,
North Berwick,S20000887," 6,650 "," 1,158 "," 3,691 "," 1,801 ",,,
North Kessock,S20000888," 1,000 ", 140 , 576 , 284 ,,,
North Queensferry,S20000889," 1,070 ", 184 , 677 , 209 ,,,
Oakley,S20000890," 3,890 ", 735 ," 2,501 ", 654 ,,,
Oban,S20000891," 8,540 "," 1,517 "," 5,582 "," 1,441 ",,,
Ochiltree,S20000892," 1,080 ", 173 , 730 , 177 ,,,
Oldmeldrum,S20000893," 3,230 ", 701 ," 2,051 ", 478 ,,,
Ormiston,S20000894," 2,040 ", 376 ," 1,277 ", 387 ,,,
Overtown,S20000895," 3,430 ", 590 ," 2,301 ", 539 ,,,
Pathhead,S20000896, 960 , 177 , 584 , 199 ,,,
Patna,S20000897," 2,190 ", 401 ," 1,328 ", 461 ,,,
Peebles,S20000898," 8,380 "," 1,457 "," 4,978 "," 1,945 ",,,
Pencaitland,S20000899," 1,480 ", 309 , 922 , 249 ,,,
Penicuik,S20000900," 16,110 "," 2,806 "," 10,311 "," 2,993 ",,,
Perth,S20000901," 47,180 "," 7,907 "," 30,877 "," 8,396 ",,,
Peterculter,S20000902," 7,220 "," 1,302 "," 4,519 "," 1,399 ",,,
Peterhead,S20000903," 18,450 "," 3,163 "," 12,038 "," 3,249 ",,,
Pitlochry,S20000904," 2,860 ", 328 ," 1,710 ", 822 ,,,
Pitmedden,S20000905," 1,420 ", 329 , 936 , 155 ,,,
Plains,S20000906," 2,740 ", 550 ," 1,750 ", 440 ,,,
Plean,S20000907," 1,920 ", 374 ," 1,236 ", 310 ,,,
Port Bannatyne,S20000908," 1,200 ", 147 , 659 , 394 ,,,
Port Ellen,S20000909, 830 , 124 , 527 , 179 ,,,
Portgordon,S20000910, 850 , 139 , 513 , 198 ,,,
Portknockie,S20000911," 1,270 ", 226 , 751 , 293 ,,,
Portlethen,S20000912," 8,200 "," 1,535 "," 5,710 ", 955 ,,,
Portpatrick,S20000913, 620 , 77 , 353 , 190 ,,,
Portree,S20000914," 2,410 ", 454 ," 1,549 ", 407 ,,,
Portsoy,S20000915," 1,730 ", 276 , 996 , 458 ,,,
Potterton,S20000916, 920 , 160 , 627 , 133 ,,,
Prestonpans,S20000917," 9,490 "," 1,844 "," 6,046 "," 1,600 ",,,
Quarrier's Village,S20000918, 750 , 113 , 446 , 191 ,,,
Quarter,S20000919, 750 , 134 , 456 , 160 ,,,
Queenzieburn,S20000920, 520 , 95 , 360 , 65 ,,,
Ratho,S20000921," 1,730 ", 325 ," 1,120 ", 285 ,,,
Ratho Station,S20000922," 1,190 ", 210 , 793 , 187 ,,,
Rigside,S20000923, 770 , 142 , 475 , 153 ,,,
Rosehearty,S20000924," 1,320 ", 272 , 814 , 234 ,,,
Rosemarkie,S20000925, 660 , 108 , 376 , 176 ,,,
Rosewell,S20000926," 1,540 ", 311 ," 1,000 ", 229 ,,,
Roslin,S20000927," 1,630 ", 266 ," 1,003 ", 361 ,,,
Rosneath,S20000928," 1,260 ", 213 , 824 , 223 ,,,
Rothes,S20000929," 1,230 ", 212 , 772 , 246 ,,,
Rothesay,S20000930," 4,540 ", 661 ," 2,652 "," 1,227 ",,,
Rothienorman,S20000931," 1,060 ", 234 , 691 , 135 ,,,
Saline,S20000932," 1,100 ", 169 , 683 , 248 ,,,
Salsburgh,S20000933," 1,540 ", 349 ," 1,010 ", 181 ,,,
Sandhaven,S20000934, 820 , 155 , 513 , 152 ,,,
Sanquhar,S20000935," 1,980 ", 337 ," 1,170 ", 473 ,,,
Scalloway,S20000936," 1,100 ", 199 , 723 , 178 ,,,
Scone,S20000937," 4,840 ", 773 ," 2,665 "," 1,402 ",,,
Seafield,S20000938," 1,330 ", 224 , 853 , 253 ,,,
Selkirk,S20000939," 5,730 ", 946 ," 3,467 "," 1,317 ",,,
Shieldhill,S20000940," 2,470 ", 472 ," 1,699 ", 299 ,,,
"Shotts, Dykehead and Stane",S20000941," 8,840 "," 1,481 "," 6,000 "," 1,359 ",,,
Slamannan,S20000942," 1,360 ", 278 , 855 , 227 ,,,
South Queensferry,S20000943," 8,960 "," 1,744 "," 5,900 "," 1,316 ",,,
Spean Bridge,S20000944, 570 , 101 , 349 , 120 ,,,
Springfield,S20000945, 960 , 164 , 646 , 150 ,,,
Springside,S20000946," 1,260 ", 216 , 809 , 235 ,,,
St Andrews,S20000947," 16,800 "," 1,277 "," 12,768 "," 2,755 ",,,
St Boswells,S20000948," 1,400 ", 228 , 795 , 377 ,,,
St Combs,S20000949, 660 , 95 , 423 , 142 ,,,
St Cyrus,S20000950," 1,060 ", 206 , 645 , 209 ,,,
St Fergus,S20000951, 750 , 162 , 494 , 94 ,,,
St Madoes and Glencarse,S20000952," 1,260 ", 256 , 793 , 211 ,,,
St Monans,S20000953," 1,230 ", 187 , 772 , 271 ,,,
Stanley,S20000954," 1,450 ", 226 , 948 , 276 ,,,
Steornabhagh (Stornoway),S20000955," 7,500 "," 1,241 "," 4,658 "," 1,601 ",,,
Stewarton,S20000956," 7,140 "," 1,322 "," 4,563 "," 1,255 ",,,
Stirling,S20000957," 48,480 "," 7,612 "," 32,807 "," 8,061 ",,,
Stonehaven,S20000958," 11,370 "," 2,037 "," 7,301 "," 2,032 ",,,
Stonehouse,S20000959," 5,500 "," 1,026 "," 3,497 ", 977 ,,,
Stoneyburn,S20000960," 3,440 ", 732 ," 2,203 ", 505 ,,,
Stow,S20000961, 740 , 154 , 464 , 122 ,,,
Stranraer,S20000962," 10,510 "," 1,871 "," 6,353 "," 2,286 ",,,
Strathaven,S20000963," 7,480 "," 1,363 "," 4,647 "," 1,470 ",,,
Strathblane,S20000964," 1,960 ", 352 ," 1,121 ", 487 ,,,
Strathkinness,S20000965, 610 , 98 , 360 , 152 ,,,
Strathmiglo,S20000966, 900 , 159 , 546 , 195 ,,,
Strathpeffer,S20000967," 1,070 ", 196 , 641 , 233 ,,,
Strichen,S20000968, 940 , 152 , 573 , 215 ,,,
Stromness,S20000969," 1,730 ", 253 ," 1,062 ", 415 ,,,
Stuartfield,S20000970, 700 , 124 , 445 , 131 ,,,
Symington (South Ayrshire),S20000971," 1,050 ", 177 , 654 , 219 ,,,
Symington (South Lanarkshire),S20000972, 760 , 138 , 463 , 159 ,,,
Tain,S20000973," 3,690 ", 743 ," 2,241 ", 706 ,,,
Tarbert,S20000974," 1,130 ", 144 , 719 , 267 ,,,
Tarbolton,S20000975," 1,900 ", 359 ," 1,192 ", 349 ,,,
Tarland,S20000976, 720 , 137 , 410 , 173 ,,,
Tarves,S20000977," 1,000 ", 166 , 645 , 189 ,,,
Tayport,S20000978," 3,920 ", 658 ," 2,536 ", 726 ,,,
Thankerton,S20000979, 510 , 104 , 328 , 78 ,,,
Thornhill (Dumfries and Galloway),S20000980," 1,610 ", 232 , 853 , 525 ,,,
Thornhill (Stirling),S20000981, 540 , 93 , 349 , 98 ,,,
Thorntonhall,S20000982, 610 , 144 , 402 , 64 ,,,
Thurso,S20000983," 7,760 "," 1,279 "," 4,854 "," 1,627 ",,,
Tighnabruaich,S20000984, 520 , 55 , 274 , 191 ,,,
Tillicoultry,S20000985," 6,010 ", 946 ," 3,894 "," 1,170 ",,,
Tobermory,S20000986," 1,010 ", 179 , 625 , 206 ,,,
Torphichen,S20000987, 650 , 126 , 408 , 116 ,,,
Torphins,S20000988," 1,410 ", 290 , 825 , 295 ,,,
Torrance,S20000989," 2,370 ", 435 ," 1,545 ", 390 ,,,
Townhill,S20000990," 1,220 ", 204 , 744 , 272 ,,,
Tranent,S20000991," 11,840 "," 2,437 "," 7,693 "," 1,710 ",,,
Troon,S20000992," 14,680 "," 2,271 "," 8,956 "," 3,453 ",,,
Tullibody,S20000993," 9,530 "," 1,875 "," 6,520 "," 1,135 ",,,
Turriff,S20000994," 5,060 ", 836 ," 3,025 "," 1,199 ",,,
Twechar,S20000995," 1,160 ", 221 , 736 , 203 ,,,
Ullapool,S20000996," 1,510 ", 281 , 942 , 287 ,,,
Uplawmoor,S20000997, 560 , 98 , 324 , 138 ,,,
Vale of Leven,S20000998," 24,640 "," 4,398 "," 16,373 "," 3,869 ",,,
Walkerburn,S20000999, 760 , 116 , 491 , 153 ,,,
Waterfoot,S20001000," 1,260 ", 232 , 799 , 229 ,,,
Wattston and Greengairs,S20001001," 1,190 ", 260 , 801 , 129 ,,,
Wellbank,S20001002, 600 , 118 , 360 , 122 ,,,
Wemyss Bay,S20001003," 4,570 ", 824 ," 2,915 ", 831 ,,,
West Barns,S20001004, 680 , 162 , 431 , 87 ,,,
West Calder,S20001005," 5,450 "," 1,011 "," 3,463 ", 976 ,,,
West Kilbride,S20001006," 4,760 ", 800 ," 2,816 "," 1,144 ",,,
West Linton,S20001007," 1,530 ", 354 , 881 , 295 ,,,
Westhill (Aberdeenshire),S20001008," 11,600 "," 2,288 "," 7,843 "," 1,469 ",,,
Whitburn,S20001009," 11,700 "," 2,160 "," 7,460 "," 2,080 ",,,
Whitecraig,S20001010," 1,200 ", 247 , 779 , 174 ,,,
Whitecross,S20001011, 780 , 158 , 509 , 113 ,,,
Whitehills,S20001012," 1,140 ", 220 , 682 , 238 ,,,
Whithorn,S20001013, 790 , 128 , 479 , 183 ,,,
Whiting Bay,S20001014, 640 , 100 , 317 , 223 ,,,
Wick,S20001015," 7,140 "," 1,268 "," 4,541 "," 1,331 ",,,
Wigtown,S20001016, 900 , 119 , 522 , 259 ,,,
Winchburgh,S20001017," 2,500 ", 430 ," 1,618 ", 452 ,,,
Yetholm,S20001018, 570 , 64 , 298 , 208 ,,,
,,,,,,,,
© Crown Copyright 2014,,,,,,,,
