"Table 2a: Estimated population of settlements by broad age groups, mid-2012",,,,,,,,
,,,,,,,,
Settlement Name,Settlement Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Callander,S20000587," 3,120 ", 475 ," 1,854 ", 791 ,,,
Campbeltown,S20000588," 4,800 ", 793 ," 2,799 "," 1,208 ",,,
Cardenden and Auchterderran,S20000589," 5,500 "," 1,088 "," 3,465 ", 947 ,,,
Cardrona,S20000590, 810 , 202 , 499 , 109 ,,,
Cardross,S20000591," 2,130 ", 361 ," 1,326 ", 443 ,,,
Cargenbridge,S20000592, 610 , 93 , 385 , 132 ,,,
Carluke,S20000593," 13,970 "," 2,274 "," 9,268 "," 2,428 ",,,
Carmunnock,S20000594," 1,250 ", 240 , 769 , 241 ,,,
Carnoustie,S20000595," 11,430 "," 2,034 "," 6,961 "," 2,435 ",,,
Carnwath,S20000596," 1,430 ", 252 , 903 , 275 ,,,
Carstairs,S20000597, 890 , 150 , 592 , 148 ,,,
Carstairs Junction,S20000598, 780 , 179 , 504 , 97 ,,,
Castle Douglas,S20000599," 4,070 ", 645 ," 2,354 "," 1,071 ",,,
Castletown,S20000600, 840 , 169 , 532 , 139 ,,,
Catrine,S20000601," 2,210 ", 344 ," 1,471 ", 395 ,,,
Ceres,S20000602, 950 , 155 , 551 , 244 ,,,
Chapelton,S20000603, 650 , 81 , 415 , 154 ,,,
Chirnside,S20000604," 1,400 ", 249 , 848 , 303 ,,,
Chryston,S20000605," 4,290 ", 761 ," 2,740 ", 789 ,,,
Clackmannan,S20000606," 3,450 ", 616 ," 2,209 ", 625 ,,,
Cleland,S20000607," 3,000 ", 614 ," 1,941 ", 445 ,,,
Coalburn,S20000608," 1,200 ", 222 , 734 , 244 ,,,
Coaltown of Wemyss,S20000609, 610 , 90 , 397 , 123 ,,,
Coatbridge and Airdrie,S20000610," 90,330 "," 17,292 "," 59,298 "," 13,740 ",,,
Cockenzie,S20000611," 5,660 "," 1,047 "," 3,739 ", 874 ,,,
Coldingham,S20000612, 550 , 75 , 319 , 156 ,,,
Coldstream,S20000613," 1,870 ", 242 ," 1,027 ", 601 ,,,
Comrie (Perth and Kinross),S20000614," 1,900 ", 250 , 987 , 663 ,,,
Conon Bridge and Maryburgh,S20000615," 2,890 ", 563 ," 1,811 ", 516 ,,,
Coupar Angus,S20000616," 2,350 ", 440 ," 1,446 ", 464 ,,,
Cowdenbeath,S20000617," 18,740 "," 3,290 "," 12,064 "," 3,386 ",,,
Cowie,S20000618," 2,640 ", 599 ," 1,713 ", 328 ,,,
Coylton,S20000619," 2,180 ", 367 ," 1,376 ", 437 ,,,
Crail,S20000620," 1,670 ", 207 , 919 , 544 ,,,
Creetown,S20000621, 650 , 107 , 372 , 171 ,,,
Crieff,S20000622," 7,430 "," 1,270 "," 4,373 "," 1,787 ",,,
Crimond,S20000623, 860 , 147 , 515 , 198 ,,,
Cromarty,S20000624, 740 , 123 , 486 , 131 ,,,
Crook of Devon,S20000625, 630 , 112 , 395 , 123 ,,,
Crossford (Fife),S20000626," 2,350 ", 357 ," 1,439 ", 554 ,,,
Crossford (South Lanarkshire),S20000627, 710 , 111 , 444 , 155 ,,,
Crosshill,S20000628, 500 , 69 , 329 , 102 ,,,
Crosshouse,S20000629," 2,850 ", 496 ," 1,861 ", 493 ,,,
Croy,S20000630," 1,390 ", 295 , 898 , 197 ,,,
Cruden Bay,S20000631," 1,670 ", 247 ," 1,083 ", 340 ,,,
Cullen,S20000632," 1,450 ", 231 , 820 , 399 ,,,
Culloden,S20000633," 13,040 "," 2,515 "," 8,725 "," 1,800 ",,,
Cumbernauld,S20000634," 51,610 "," 9,943 "," 33,870 "," 7,797 ",,,
Cuminestown,S20000635, 540 , 90 , 331 , 119 ,,,
Cumnock,S20000636," 8,920 "," 1,521 "," 5,738 "," 1,661 ",,,
Cupar,S20000637," 9,270 "," 1,577 "," 5,569 "," 2,124 ",,,
Dailly,S20000638, 850 , 150 , 523 , 177 ,,,
Dalbeattie,S20000639," 4,260 ", 655 ," 2,521 "," 1,084 ",,,
Dalgety Bay,S20000640," 9,810 "," 1,861 "," 6,135 "," 1,814 ",,,
Dalkeith,S20000641," 42,220 "," 8,160 "," 26,825 "," 7,235 ",,,
Dalmellington,S20000642," 1,390 ", 184 , 853 , 353 ,,,
Dalry,S20000643," 5,560 "," 1,021 "," 3,489 "," 1,050 ",,,
Dalrymple,S20000644," 1,510 ", 303 , 964 , 243 ,,,
Danderhall,S20000645," 2,770 ", 513 ," 1,776 ", 481 ,,,
Darvel,S20000646," 3,860 ", 692 ," 2,410 ", 758 ,,,
Dechmont,S20000647, 690 , 90 , 439 , 161 ,,,
Denholm,S20000648, 650 , 91 , 372 , 187 ,,,
Dingwall,S20000649," 5,520 "," 1,016 "," 3,473 "," 1,031 ",,,
Dollar,S20000650," 2,740 ", 526 ," 1,611 ", 603 ,,,
Dornoch,S20000651," 1,270 ", 192 , 689 , 389 ,,,
Douglas,S20000652," 1,560 ", 292 , 962 , 306 ,,,
