"city","VVD","PvdA","PVV","SP","CDA","D66","CU","GrLinks","SGP","PvdD","50+"
"Gilze en Rijen","29","23.3","11.7","12.4","8.7","7.1","0.4","1.5","0.1","1.5","3.4"
"Goedereede","27.2","11.9","9","4.7","8.9","2.9","7.1","0.6","24.6","1.3","1.3"
"Goes","23.7","25.1","7.9","9.8","9.7","6.2","4.5","2.1","6.8","1.7","1.5"
"Goirle","29.5","23.7","9.1","13.6","8.2","8.6","0.4","1.8","0.1","1.5","2.7"
"Gorinchem","26","27.4","10","9.2","6.3","7.1","5","2","2.4","2","1.8"
"Gouda","22","26.2","10.5","7.8","6.5","8.8","5.4","3","4.7","2.3","1.9"
"Graafstroom","22.2","8.8","5.4","3.6","18","2.5","15.7","0.8","20.8","0.8","1"
"Graft-De Rijp","39.4","20.5","7.6","8.2","9.1","7.5","0.4","1.8","0.1","2.5","1.8"
"Grave","28.9","19.6","10.1","18","9.5","7","0.6","1.4","0","1.6","2"
"Groesbeek","21.7","25.7","12","15.9","10.1","6.8","0.5","2.6","0.1","2.2","1.6"
"Groningen","16.5","36.5","4.6","11.8","4","13","4","4.6","0.4","2.4","0.8"
"Grootegast","19.4","21.6","8.3","8.3","20.4","3.8","11.4","1.4","2.1","1.2","1"
"Gulpen-Wittem","22.5","21.5","15.5","13.4","12.7","5.8","0.8","1.9","0.3","2.1","2.6"
"Haaksbergen","28.8","22.8","9","9.2","17.2","6.3","0.7","1.2","0.1","1","2.2"
"Haaren","33.4","18.4","7.8","11.5","14.4","7.5","0.5","2","0.1","1.7","1.9"
"Haarlem","23.3","30.4","8","9.2","4.6","12.3","1.4","4.2","0.2","3.3","2"
"Haarlemmerliede en Spaarnwoude","38.5","18.3","10.1","6.4","8.6","9.1","1.1","2.1","0.3","2.2","2.3"
"Haarlemmermeer","39.7","20","10.6","5.9","6.3","7.6","2.1","1.6","0.8","2.2","2.3"
"Halderberge","30.6","20.1","14.9","11.7","9.2","5.8","0.6","1.1","0.2","1.4","3.3"
"Hardenberg","22.7","20.7","7.8","7.8","18","4","13.1","1","1.8","1","1.4"
"Harderwijk","29.8","18.1","8.3","6.1","12.7","6","10.2","1.8","2.8","1.7","1.6"
"Hardinxveld-Giessendam","20.2","14.4","7.7","4.4","9.6","2.4","17.1","0.6","21","0.8","1.2"
"Haren","27.4","27.8","3.3","6.3","8.9","12.2","5.1","4.3","0.6","1.9","1"
"Harenkarspel","38.2","19.6","8","7.6","11","7.3","0.8","2.2","0.1","2","2.1"
"Harlingen","22.1","33.3","9.2","11","8.8","4.6","3.7","1.9","0.6","2.1","1.8"
"Hattem","20.8","25.1","5.6","6.7","12.6","6.2","16","1.7","2.6","0.9","1.1"
"Heemskerk","29.1","25.8","10.6","9.6","8","6.8","1.3","2.1","0.2","2.4","2.9"
"Heemstede","42.4","19","4.6","4.5","7.6","12.9","1.1","2.5","0.2","2.4","1.8"
"Heerde","22.5","22.3","7.7","6.4","14.4","4.5","15.1","0.9","3.2","1.5","1.2"
"Heerenveen","21","38.5","6.9","9.5","8.8","6.1","3.3","1.8","0.3","1.7","1.1"
"Heerhugowaard","32.4","24.3","9.8","9.7","6.9","7.2","1.8","1.9","0.2","2","2.3"
"Heerlen","15.5","24.6","19.4","21.2","6.3","5","0.8","1.6","0.1","2.2","2.1"
"Heeze-Leende","34.4","16.8","7.6","12.7","13.8","8.7","0.4","1.8","0","1.3","1.9"
"Heiloo","35.4","23.7","5.6","6.1","8.7","10.7","1.1","3.2","0.2","2.3","2.1"
"Hellendoorn","23","20.5","7.6","9.8","23.1","5.4","5.4","1.1","0.9","1","1.6"
"Hellevoetsluis","32.1","22.8","17.6","9.2","3.7","5.1","1.4","1.3","0.4","2.4","2.7"
"Helmond","26.2","22.5","15.3","16.6","6.5","6","0.5","1.5","0.1","1.5","2.3"
"Hendrik-Ido-Ambacht","29.4","17.4","10.9","5.6","7.7","4.4","5.8","1","13.9","1.4","1.7"
"Hengelo","22.1","28.5","8.6","13.2","11.3","7.6","2.3","1.8","0.3","1.6","1.7"
"het Bildt","19.4","32","7.6","10.6","17.5","3.9","3.5","1.5","0.5","1.8","0.8"
"Heumen","27.9","24.8","6.5","12.2","11.3","10.2","0.5","2.9","0","1.5","1.4"
"Heusden","32.3","18.9","12","12.2","9.9","7.4","0.8","1.3","0.2","1.6","2.4"
"Hillegom","37.5","18.9","11.1","6.7","8","8","1.1","1.9","0.7","2.6","2.6"
"Hilvarenbeek","33.4","19.7","6.5","12.1","13.7","7.7","0.4","2","0.1","1.6","2.1"
"Hilversum","29.1","25","8.7","8.2","5.8","11.5","2.4","3","0.7","2.7","2"
"Hof van Twente","32.7","23.4","7.3","7.7","16.6","6.7","1.2","1.3","0.3","0.9","1.4"
"Hollands Kroon","36.6","21.1","11","8.1","8.6","5.8","1.7","1.5","0.3","1.7","2.6"
"Hoogeveen","21.1","25.4","10.4","9.8","15.4","3.9","7.6","1.2","1.9","1.1","1.4"
"Hoogezand-Sappemeer","15.8","39","10.8","12.8","7.3","4.5","3.8","1.5","0.4","1.8","1.4"
"Hoorn","28.1","27.7","9.7","10.4","5.7","7.7","1.1","2.3","0.2","2.6","3.2"
"Horst aan de Maas","27.7","16.3","11.9","15.4","15.8","7","0.4","1.5","0.1","1.2","1.9"
"Houten","31.2","21.3","7.8","6.5","8.1","10","5.4","3.1","2.4","1.7","1.6"
"Huizen","34.9","19.4","7.9","5.8","8.8","8.3","5.4","2","2.6","2","1.7"
"Hulst","27.3","25.9","13.6","11.6","10.1","4.5","0.7","1.2","0.2","1.7","1.9"
"IJsselstein","34.5","22.7","10.5","7.5","7.8","7.7","2.1","1.7","1.1","1.6","2.1"
"Kaag en Braassem","40","15.8","10.5","5.6","11.4","8.4","1.1","1.8","0.4","1.7","2.4"
"Kampen","17.9","19.9","7.2","8.2","12.7","4","14.8","1.5","11","1.1","1.1"
"Kapelle","26.2","18.2","7.4","7.9","12.2","4.7","5.8","1.1","13.2","1.4","1.3"
"Katwijk","28.6","12.3","10.4","5","15","3.9","9.9","0.8","10.2","1.4","1.7"
"Kerkrade","14.1","25.7","25.5","16.9","6.7","3.7","0.3","1.2","0.1","2.3","2.2"
"Koggenland","40","17.2","9","6.7","12.6","6.6","0.5","1.7","0.1","1.8","2.8"
"Kollumerland c.a.","17.2","24.8","9.3","10.2","21.2","3","8.2","0.9","1.7","1.6","1.1"
"Korendijk","27.9","15","10.5","6.2","8.2","4.5","4.3","1.3","18.4","1.6","1.5"
"Krimpen aan den IJssel","25.3","20.2","10.7","5.5","6.8","5.6","6.7","1.5","13.7","1.8","1.5"
"Laarbeek","29.8","18.6","11.6","16.2","12","6.1","0.3","1.2","0","1.2","2.1"
"Landerd","31.2","17.4","9.4","17.4","12.9","6.2","0.3","1.2","0","1","2.2"
"Landgraaf","16.6","24.6","23.1","16.9","7","4.4","0.5","1.5","0.1","2.2","2.1"
"Landsmeer","36.5","25","9.8","7.2","3.8","9.2","0.7","2.3","0.3","2.2","2.2"
"Langedijk","34.6","20.9","8.8","7.9","9.6","7.3","2.6","2.5","0.3","2.1","2.2"
"Lansingerland","41.1","16.1","9.6","4.3","9.2","7.6","5.1","1.5","1.2","1.8","1.7"
"Laren","54.5","13.2","5.1","4.1","6.8","9.7","0.5","1.7","0.1","1.9","1.5"
"Leek","19.8","33","6.7","9.1","10.8","5.4","8.2","2","1.2","1.4","1.3"
"Leerdam","25.3","23.1","11.3","6.6","9.1","4.1","6.9","1.2","8.9","1.4","1.3"
"Leeuwarden","16.1","41.1","7.4","11.2","7","6.8","3.3","2.4","0.4","2.1","1.1"
"Leeuwarderadeel","17.7","38.7","6.2","9.9","14.4","4.8","3.7","1.3","0.4","1.4","0.9"
"Leiden","20.6","30.2","9","8.5","4","15.3","1.9","4.9","0.4","2.9","1.4"
"Leiderdorp","32","24.6","8.4","6.6","7.2","10.9","1.9","2.6","1","2.1","2"
"Leidschendam-Voorburg","34.2","20.6","9.8","6.1","7.9","11.1","1.6","2.2","0.4","2.7","2.5"
"Lelystad","26.9","25.7","14.7","9.6","4.9","5.6","3.5","1.8","0.8","2.5","2.7"
"Lemsterland","31.1","25.1","9.1","8.8","11.9","5.5","2.7","1.2","0.9","1.3","1.5"
"Leudal","28.9","16.5","15.8","12.3","12.7","6.4","0.4","1.8","0.1","1.5","2.6"
"Leusden","35.6","19.3","5.8","5.7","9.9","9.3","5.3","2.8","1.9","1.7","1.8"
"Liesveld","26","14.3","6.8","4.1","12.7","2.9","14.7","0.8","14.9","0.9","1.4"
"Lingewaal","29.6","19.7","11.1","5.3","11.9","4.3","7.4","1.1","5.2","1.5","1.7"
"Lingewaard","30.9","24.7","9.6","11.3","9.1","7.7","0.6","1.7","0.1","1.4","2"
"Lisse","37.7","16","9.3","5.5","10.3","7.5","2.1","1.4","5","1.6","2.6"
"Littenseradiel","22.7","31.3","4.4","8.2","19.9","5.3","2.5","2.2","0.2","1.6","0.6"
"Lochem","33.3","26.1","4.6","7.8","10.3","10.1","1.1","2.5","0.2","1.7","1.4"
"Loon op Zand","32.3","20","12.4","11.7","9.4","6.3","0.6","1.4","0.6","1.6","2.8"
"Lopik","32.3","12","12","4.6","15","4","8.2","0.9","7.6","1.3","1.6"
"Loppersum","15.2","31.7","6.2","10.9","14","5","8.8","2.9","1.5","2","1.1"
"Losser","25.2","22.8","11.3","11","18","5.4","0.8","1.1","0.2","1","2.5"
"Maasdonk","31.8","15.3","12.1","16.3","13.9","5.4","0.3","1.3","0","0.9","1.9"
"Maasdriel","34.7","16","14.9","9.5","10.6","5.7","1.3","1.3","2","1.2","1.8"
"Maasgouw","26.9","18.3","18.3","11.8","10.6","5.9","0.5","1.5","0.1","1.8","2.9"
"Maassluis","29.3","23.8","13.2","7.5","9.3","5.8","3.6","1.2","0.8","2.1","2.5"
"Maastricht","19.1","27.7","14.8","12.6","6.8","10","0.7","3","0.1","2.2","1.9"
"Marum","23.1","28.8","8.7","9.1","13.2","4.3","6.2","2","1.2","1.4","1.2"
"Medemblik","34.6","18.7","10","7.9","11.1","6.3","2.3","1.6","0.9","2.1","3.2"
"Meerssen","24.9","22.3","14.4","12.8","10.6","7","0.5","2","0.1","1.8","2.2"
"Menameradiel","20.3","36.6","6.1","8.7","15.1","5.2","3","1.7","0.4","1.3","1"
"Menterwolde","16.5","41","10.5","13.8","4.6","4.2","3.4","1.6","0.4","1.9","1.3"
"Meppel","26.2","29.7","7.9","9.1","8.6","6.8","5.2","2.1","0.5","1.5","1.4"
"Middelburg","18.9","26.7","7.3","9.8","8.7","6.6","6.1","2.7","8.5","2.3","1.6"
"Middelharnis","24.4","17","10.3","6.4","7.6","3.7","8.8","1","17.3","1.4","1.6"
"Midden-Delfland","40.4","15.1","7.2","4.4","14.9","8.5","3.1","2","0.6","1.4","1.5"
"Midden-Drenthe","25.6","31.6","7","8","12.5","5.4","3.8","1.8","0.8","1.3","1.4"
"Mill en Sint Hubert","28.4","15.3","10.2","22.2","14.9","4.1","0.3","1","0.1","0.8","2"
"Millingen aan de Rijn","20.7","33.1","10.1","17.6","6.7","5","0.3","1.4","0.2","1.8","2.2"
"Moerdijk","30.2","19.9","12.6","11.8","9.9","5.6","2.7","1.3","0.5","2","2.7"
"Montferland","26.3","25.3","12.5","11.9","12.9","5.3","0.5","1.1","0.1","1.4","1.7"
"Montfoort","36.9","15.6","8.6","4.8","10.9","7.2","5.1","1.4","5.4","1.3","1.8"
"Mook en Middelaar","29.4","22.6","7","14.5","8.3","10.4","0.7","2.7","0.1","2.2","1.4"
"Muiden","34.7","22.2","7.5","5.4","7.3","14.7","0.7","2.5","0.1","2.3","1.8"
"Naarden","45.7","18.2","5.1","3.8","6.2","12.7","1.2","2.6","0.4","2","1.5"
"Neder-Betuwe","21.4","17.8","9.9","4.2","6.3","3","4.5","0.6","29.9","1","1.1"
"Nederlek","30.1","22.8","10.8","7.2","7","5.4","4.3","1.2","6.4","2.5","1.6"
"Nederweert","31.4","17.2","14.6","11.7","14.1","5.1","0.3","1.5","0","1.2","1.8"
"Neerijnen","31.6","17.5","12.4","5.8","8.7","4.5","3.2","1.1","12.2","1.4","1.3"
"Nieuwegein","27.6","26.3","13","9.4","6.3","7","2.1","2.1","0.6","1.9","2.7"
"Nieuwkoop","41","14.3","10.6","4.8","12.2","6.7","2.8","1.4","2","1.5","2.1"
"Nieuw-Lekkerland","15","16","8.1","4.7","8","2.2","13.7","0.7","29.1","1.1","1"
"Nijkerk","31","14.5","9.2","5","12.9","5.5","9.9","1.2","7.3","1.1","1.7"
"Nijmegen","16.1","32.3","7.1","15","4.9","12.8","1","6","0.1","2.2","1.4"
"Noord-Beveland","30.6","20.5","10.3","9.3","10.3","5.4","2.8","1.3","4.5","2.1","1.8"
"Noordenveld","25.7","33.8","7","8.4","7.8","7.4","3.4","2.5","0.4","1.6","1.2"
"Noordoostpolder","29.2","18","9.2","7.1","14.6","5.3","8","1.3","3.9","1.1","1.3"
"Noordwijk","43","17.8","9.9","5.6","7.5","7.4","1.3","1.9","0.4","1.9","2.5"
"Noordwijkerhout","41.5","15.6","10.5","6.4","10.6","7.4","0.7","1.6","0.2","1.8","2.8"
"Nuenen a.c.","32.7","20.9","7.3","11.6","10.4","10.1","0.6","2.1","0.1","1.4","2.1"
"Nunspeet","24","9.4","7.3","4","11.3","3.2","13.4","0.9","24.2","0.9","0.9"
"Nuth","23.3","20.6","17.1","13","12.5","5.6","0.4","2.2","0.1","1.9","2.3"
"Oegstgeest","36.1","20.8","4.9","4.9","7.1","15.6","2.6","3.1","0.5","2.1","1.4"
"Oirschot","31.7","16.7","9.9","14.5","14.2","7.2","0.3","1.2","0","1","2.5"
"Oisterwijk","36.1","19.5","7.4","11.1","10.5","8.8","0.6","1.8","0.1","1.5","2"
"Oldambt","15.4","40.1","10.4","15.4","5.9","3.8","3.6","1.2","0.3","1.8","1.3"
"Oldebroek","16.1","15.4","8.7","5.1","13.4","2.6","20.8","0.6","14.8","0.8","1.1"
"Oldenzaal","27","24.7","8.7","11.8","14","7.7","0.5","1.5","0.1","1.2","1.9"
"Olst-Wijhe","26","29.3","6.3","9.2","13.9","6.9","1.7","2.3","0.4","1.5","1.7"
"Ommen","25.7","18.1","5.7","6.5","20.9","5.8","11.6","1.2","1.5","1.2","1"
"Onderbanken","19.3","22","22.7","16.4","8.8","4.4","0.4","1.5","0.1","2","1.6"
"Oost Gelre","29.3","22.4","6.6","10.1","18.9","7.4","0.5","1","0.1","1","1.8"
"Oosterhout","30.7","23.2","13.1","11","7.1","7.7","0.7","1.6","0.1","1.5","2.3"
"Oostflakkee","25.2","21.4","13.8","7.1","8","3.6","6.2","1.2","8.7","1.8","2.1"
"Ooststellingwerf","20.4","33.9","8.4","10.3","11.4","4.7","3.8","1.7","0.7","2","1.3"
"Oostzaan","35","23.8","13.4","7.2","3.7","6.9","1.5","2.6","0.3","2.2","2.3"
"Opmeer","37","19","8.5","7.1","13.6","6.9","0.6","1.4","0.2","1.4","3.2"
"Opsterland","19.2","34.8","6","9.7","11.5","5.1","7.3","2.2","1.3","1.3","0.8"
"Oss","25.6","21.1","11.6","20.1","8.4","6.9","0.4","1.5","0.1","1.4","2.2"
"Oud-Beijerland","29.6","19.2","10.5","7.1","7.4","6.5","5","1.5","9.2","1.7","1.7"
"Oude IJsselstreek","24.7","27.4","9.1","12.8","13.7","5.8","1.2","1.4","0.2","1.3","1.8"
"Ouder-Amstel","35.6","22.6","6.5","5.1","6.7","12.3","1.2","2.7","1","2.5","2.8"
"Ouderkerk","27.6","16.9","9.1","4.3","7.8","4.1","9.7","0.9","16.2","1.7","1.1"
"Oudewater","39.5","13.4","8.4","4.1","14.3","6.2","4.8","1.2","4.1","1.3","1.6"
"Overbetuwe","30.1","22.6","8.8","9.4","9.9","8.1","2.8","2.1","2.1","1.5","1.8"
"Papendrecht","28.9","21.2","11.1","7.6","8.2","5.3","6.6","1.3","4.8","1.8","2.4"
