"city","VVD","PvdA","PVV","SP","CDA","D66","CU","GrLinks","SGP","PvdD","50+"
"Tholen","20.3","16.5","11","7.6","7.9","2.5","6","0.6","24.2","1.5","1.3"
"Tiel","29.1","27.8","13.3","9.2","5.7","6.1","1.8","1.7","0.8","1.9","1.8"
"Tilburg","23.9","26.8","10.4","14.1","6.2","10","0.6","2.7","0.1","1.9","2.4"
"Tubbergen","33.7","12.4","8.9","7","29.8","4.2","0.4","0.6","0.1","0.6","1.4"
"Twenterand","18.5","18.9","10.5","8.1","22","2.8","11.2","0.8","4.2","1","1.4"
"Tynaarlo","28.1","32.4","5.5","6.9","6.9","9.5","3.5","2.9","0.3","1.9","1.3"
"Tytsjerksteradiel","17.8","31.9","6.5","9","18.1","4.3","6.3","1.8","1","1.3","1"
"Ubbergen","22.8","26.9","6.3","12.6","10.2","10","0.6","4.9","0.1","2.7","2"
"Uden","32.1","18.7","9.8","16.1","9.8","7.5","0.4","1.4","0.1","1.4","2.1"
"Uitgeest","36","24.2","8.5","7.9","6.9","8.6","0.6","2.2","0.1","2.1","2.1"
"Uithoorn","40.8","19.4","9.8","6.2","6.2","8.1","1.3","2","0.2","2.2","2.5"
"Urk","6.3","1","8.8","0.8","12.7","0.2","18","0.1","51.3","0.2","0.2"
"Utrecht","21.5","29.7","6.3","7.3","4.2","17.4","2.1","6.8","0.4","2.3","1.1"
"Utrechtse Heuvelrug","34.1","18.6","6.3","6.2","8.8","10.2","3.1","3.4","4.3","2.4","1.9"
"Vaals","18.2","25.2","18.3","14.5","8.9","5.8","1","2","0.3","2.2","2.3"
"Valkenburg aan de Geul","26.5","19.6","15.7","11.5","11.1","7.8","0.6","1.9","0.1","2.4","1.9"
"Valkenswaard","29.1","20.7","12","14.5","10","6.3","0.5","1.4","0.1","1.4","3.2"
"Veendam","17.6","42.2","9.6","12.2","5.7","4.4","3","1.1","0.4","1.8","1.5"
"Veenendaal","26.5","16.7","9.2","5.3","9.4","4.7","13.1","1.1","10.8","1.1","1.5"
"Veere","27.6","18.5","5.6","5.9","13.3","5.3","5","1.7","13.1","1.9","1.5"
"Veghel","32.1","19.2","9.8","13.8","12.7","6.9","0.3","1.2","0.1","1.2","1.9"
"Veldhoven","29.2","20.8","11.1","14","9","7.6","0.9","1.5","0.1","1.6","3.2"
"Velsen","28.8","26","12.8","8.6","5.8","7.4","2","1.9","0.3","2.5","2.8"
"Venlo","24.8","20.7","20.5","12.4","8.2","6.1","0.5","2.2","0.1","1.5","2.1"
"Venray","27.3","19","11.1","17","12.5","6.9","0.5","1.5","0.1","1","2.4"
"Vianen","30.9","22.3","11.9","7.1","8.3","6.8","3.2","1.8","2.9","1.9","2.3"
"Vlaardingen","23.4","27.1","15","10.2","6.3","6","2.6","2","1.6","2.4","2.6"
"Vlagtwedde","19","32.6","12.3","11.7","11.1","3.4","3.3","1.6","0.6","2.1","1.5"
"Vlieland","28.1","29","4.7","7.5","5.9","10.7","3.6","3.9","0.6","3.7","1.6"
"Vlissingen","22.3","28.8","12.1","11.9","6.7","5.3","2.9","1.8","2.3","2.3","2.4"
"Vlist","33.4","15.4","8.7","4.7","11.1","5.4","5","1.4","11.2","1.6","0.8"
"Voerendaal","24.1","22.2","15.3","12.5","11.6","7.2","0.4","1.7","0.1","1.7","2"
"Voorschoten","37.2","19.7","7.7","4.9","8.1","12.4","1.5","3.3","0.4","2.3","1.6"
"Voorst","31.6","24.3","6.3","7.7","13.5","8","1.4","1.7","1.8","1.5","1.5"
"Vught","32.7","21.5","7.6","12.7","7.2","10.9","0.4","2.5","0.1","1.6","2"
"Waalre","34.8","19","7.8","10.1","9.2","11.2","0.7","2.2","0.2","1.7","2.6"
