Table 1a: All settlements by locality and Council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Brechin,S20000569,Brechin,S19000717,Angus,S12000041,
Bridge of Earn,S20000570,Bridge of Earn,S19000719,Perth & Kinross,S12000024,
Bridge of Weir,S20000571,Bridge of Weir,S19000720,Renfrewshire,S12000038,
Bridgend,S20000572,Bridgend,S19000721,West Lothian,S12000040,
Broadford,S20000573,Broadford,S19000723,Highland,S12000017,
Brodick,S20000574,Brodick,S19000724,North Ayrshire,S12000021,
Brookfield,S20000575,Brookfield,S19000725,Renfrewshire,S12000038,
Brora,S20000576,Brora,S19000726,Highland,S12000017,
Broxburn,S20000577,Broxburn,S19000727,West Lothian,S12000040,
Buchlyvie,S20000578,Buchlyvie,S19000728,Stirling,S12000030,
Buckie,S20000579,Buckie,S19000730,Moray,S12000020,
Burghead,S20000580,Burghead,S19000731,Moray,S12000020,
Burntisland,S20000581,Burntisland,S19000732,Fife,S12000015,
Burrelton,S20000582,Burrelton,S19000733,Perth & Kinross,S12000024,
Cairneyhill,S20000583,Cairneyhill,S19000735,Fife,S12000015,
Calderbank,S20000584,Calderbank,S19000736,North Lanarkshire,S12000044,
Caldercruix,S20000585,Caldercruix,S19000737,North Lanarkshire,S12000044,
California,S20000586,California,S19000738,Falkirk,S12000014,
Callander,S20000587,Callander,S19000739,Stirling,S12000030,
Campbeltown,S20000588,Campbeltown,S19000741,Argyll & Bute,S12000035,
Cardenden and Auchterderran,S20000589,Cardenden and Auchterderran,S19000743,Fife,S12000015,
Cardrona,S20000590,Cardrona,S19000744,Scottish Borders,S12000026,
Cardross,S20000591,Cardross,S19000745,Argyll & Bute,S12000035,
Cargenbridge,S20000592,Cargenbridge,S19000747,Dumfries & Galloway,S12000006,
"Carluke, Settlement of",S20000593,Braidwood,S19000716,South Lanarkshire,S12000029,
"Carluke, Settlement of",S20000593,Carluke,S19000748,South Lanarkshire,S12000029,
Carmunnock,S20000594,Carmunnock,S19000749,Glasgow City,S12000046,
Carnoustie,S20000595,Carnoustie,S19000751,Angus,S12000041,
Carnwath,S20000596,Carnwath,S19000752,South Lanarkshire,S12000029,
Carstairs,S20000597,Carstairs,S19000755,South Lanarkshire,S12000029,
Carstairs Junction,S20000598,Carstairs Junction,S19000756,South Lanarkshire,S12000029,
Castle Douglas,S20000599,Castle Douglas,S19000757,Dumfries & Galloway,S12000006,
Castletown,S20000600,Castletown,S19000758,Highland,S12000017,
Catrine,S20000601,Catrine,S19000759,East Ayrshire,S12000008,
Ceres,S20000602,Ceres,S19000760,Fife,S12000015,
Chapelton,S20000603,Chapelton,S19000762,South Lanarkshire,S12000029,
Chirnside,S20000604,Chirnside,S19000763,Scottish Borders,S12000026,
"Chryston, Settlement of",S20000605,Chryston,S19000764,North Lanarkshire,S12000044,
"Chryston, Settlement of",S20000605,Muirhead,S19001078,North Lanarkshire,S12000044,
Clackmannan,S20000606,Clackmannan,S19000765,Clackmannanshire,S12000005,
Cleland,S20000607,Cleland,S19000767,North Lanarkshire,S12000044,
Coalburn,S20000608,Coalburn,S19000769,South Lanarkshire,S12000029,
Coaltown of Wemyss,S20000609,Coaltown of Wemyss,S19000772,Fife,S12000015,
Coatbridge and Airdrie,S20000610,Airdrie,S19000640,North Lanarkshire,S12000044,
Coatbridge and Airdrie,S20000610,Bargeddie,S19000686,North Lanarkshire,S12000044,
Coatbridge and Airdrie,S20000610,Chapelhall,S19000761,North Lanarkshire,S12000044,
Coatbridge and Airdrie,S20000610,Coatbridge,S19000773,North Lanarkshire,S12000044,
Cockenzie,S20000611,Cockenzie,S19000774,East Lothian,S12000010,
Coldingham,S20000612,Coldingham,S19000775,Scottish Borders,S12000026,
Coldstream,S20000613,Coldstream,S19000776,Scottish Borders,S12000026,
Comrie (Perth and Kinross),S20000614,Comrie (Perth and Kinross),S19000778,Perth & Kinross,S12000024,
Conon Bridge and Maryburgh,S20000615,Conon Bridge,S19000779,Highland,S12000017,
Conon Bridge and Maryburgh,S20000615,Maryburgh,S19001047,Highland,S12000017,
Coupar Angus,S20000616,Coupar Angus,S19000780,Perth & Kinross,S12000024,
"Cowdenbeath, Settlement of",S20000617,Cowdenbeath,S19000782,Fife,S12000015,
