Table 1a: All settlements by locality and Council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Invergordon,S20000759,Invergordon,S19000948,Highland,S12000017,
Inverkip,S20000760,Inverkip,S19000951,Inverclyde,S12000018,
Inverness,S20000761,Inverness,S19000952,Highland,S12000017,
Inverurie,S20000762,Inverurie,S19000953,Aberdeenshire,S12000034,
"Irvine, Settlement of",S20000763,Dreghorn,S19000822,North Ayrshire,S12000021,
"Irvine, Settlement of",S20000763,Irvine,S19000954,North Ayrshire,S12000021,
Jedburgh,S20000764,Jedburgh,S19000955,Scottish Borders,S12000026,
Johnshaven,S20000765,Johnshaven,S19000956,Aberdeenshire,S12000034,
Keith,S20000766,Keith,S19000958,Moray,S12000020,
Kelso and Maxwellheugh,S20000767,Kelso,S19000959,Scottish Borders,S12000026,
Kelso and Maxwellheugh,S20000767,Maxwellheugh,S19001050,Scottish Borders,S12000026,
Kelty (part),S20000768,Kelty (part),S19000960,Fife,S12000015,
Kelty (part),S20000768,Kelty (part),S19000960,Perth & Kinross,S12000024,
Kemnay,S20000769,Kemnay,S19000961,Aberdeenshire,S12000034,
Kilbirnie,S20000770,Kilbirnie,S19000964,North Ayrshire,S12000021,
Kilcreggan,S20000771,Kilcreggan,S19000965,Argyll & Bute,S12000035,
Killearn,S20000772,Killearn,S19000966,Stirling,S12000030,
Killin,S20000773,Killin,S19000967,Stirling,S12000030,
Kilmacolm,S20000774,Kilmacolm,S19000968,Inverclyde,S12000018,
"Kilmarnock, Settlement of",S20000775,Hurlford and Crookedholm,S19000939,East Ayrshire,S12000008,
"Kilmarnock, Settlement of",S20000775,Kilmarnock,S19000969,East Ayrshire,S12000008,
Kilmaurs,S20000776,Kilmaurs,S19000970,East Ayrshire,S12000008,
Kilsyth,S20000777,Kilsyth,S19000971,North Lanarkshire,S12000044,
Kilwinning,S20000778,Kilwinning,S19000972,North Ayrshire,S12000021,
Kincardine,S20000779,Kincardine,S19000973,Fife,S12000015,
Kinghorn,S20000780,Kinghorn,S19000974,Fife,S12000015,
Kinglassie,S20000781,Kinglassie,S19000975,Fife,S12000015,
Kingseat (Aberdeenshire),S20000782,Kingseat (Aberdeenshire),S19000976,Aberdeenshire,S12000034,
Kingseat (Fife),S20000783,Kingseat (Fife),S19000977,Fife,S12000015,
Kingskettle,S20000784,Kingskettle,S19000978,Fife,S12000015,
Kingswells,S20000785,Kingswells,S19000979,Aberdeen City,S12000033,
Kingussie,S20000786,Kingussie,S19000980,Highland,S12000017,
Kinlochleven,S20000787,Kinlochleven,S19000981,Highland,S12000017,
Kinloss,S20000788,Kinloss,S19000982,Moray,S12000020,
Kinnesswood,S20000789,Kinnesswood,S19000983,Perth & Kinross,S12000024,
Kinross,S20000790,Kinross,S19000984,Perth & Kinross,S12000024,
Kintore,S20000791,Kintore,S19000985,Aberdeenshire,S12000034,
Kippen,S20000792,Kippen,S19000986,Stirling,S12000030,
Kirkcaldy,S20000793,Kirkcaldy,S19000987,Fife,S12000015,
Kirkconnel,S20000794,Kirkconnel,S19000988,Dumfries & Galloway,S12000006,
Kirkcudbright,S20000795,Kirkcudbright,S19000989,Dumfries & Galloway,S12000006,
Kirkfieldbank,S20000796,Kirkfieldbank,S19000990,South Lanarkshire,S12000029,
Kirkhill,S20000797,Kirkhill,S19000991,Highland,S12000017,
"Kirkintilloch, Settlement of",S20000798,Kirkintilloch,S19000992,East Dunbartonshire,S12000045,
"Kirkintilloch, Settlement of",S20000798,Lenzie,S19001012,East Dunbartonshire,S12000045,
Kirkliston,S20000799,Kirkliston,S19000993,"Edinburgh, City of",S12000036,
Kirkmuirhill and Blackwood,S20000800,Kirkmuirhill and Blackwood,S19000994,South Lanarkshire,S12000029,
Kirknewton,S20000801,Kirknewton,S19000995,West Lothian,S12000040,
Kirkwall,S20000802,Kirkwall,S19000996,Orkney Islands,S12000023,
Kirriemuir,S20000803,Kirriemuir,S19000997,Angus,S12000041,
Kyle of Lochalsh,S20000804,Kyle of Lochalsh,S19000998,Highland,S12000017,
Ladybank,S20000805,Ladybank,S19000999,Fife,S12000015,
Lamlash,S20000806,Lamlash,S19001000,North Ayrshire,S12000021,
Lanark,S20000807,Lanark,S19001001,South Lanarkshire,S12000029,
Langbank,S20000808,Langbank,S19001002,Renfrewshire,S12000038,
Langholm,S20000809,Langholm,S19001003,Dumfries & Galloway,S12000006,
Largs,S20000810,Largs,S19001005,North Ayrshire,S12000021,
"Larkhall, Settlement of",S20000811,Ashgill,S19000658,South Lanarkshire,S12000029,
"Larkhall, Settlement of",S20000811,Larkhall,S19001006,South Lanarkshire,S12000029,
Lauder,S20000812,Lauder,S19001007,Scottish Borders,S12000026,
Laurencekirk,S20000813,Laurencekirk,S19001008,Aberdeenshire,S12000034,
Law,S20000814,Law,S19001010,South Lanarkshire,S12000029,
Lennoxtown,S20000815,Lennoxtown,S19001011,East Dunbartonshire,S12000045,
Lerwick,S20000816,Lerwick,S19001013,Shetland Islands,S12000027,
Lesmahagow,S20000817,Lesmahagow,S19001015,South Lanarkshire,S12000029,
Letham,S20000818,Letham,S19001016,Angus,S12000041,
"Leuchars, Settlement of",S20000819,Guardbridge,S19000918,Fife,S12000015,
"Leuchars, Settlement of",S20000819,Leuchars,S19001017,Fife,S12000015,
Lhanbryde,S20000820,Lhanbryde,S19001019,Moray,S12000020,
Liff (part),S20000821,Liff (part),S19001020,Angus,S12000041,
Liff (part),S20000821,Liff (part),S19001020,Dundee City,S12000042,
Limekilns,S20000822,Limekilns,S19001021,Fife,S12000015,
Linlithgow,S20000823,Linlithgow,S19001022,West Lothian,S12000040,
"Livingston, Settlement of",S20000824,Livingston,S19001024,West Lothian,S12000040,
"Livingston, Settlement of",S20000824,Mid Calder,S19001057,West Lothian,S12000040,
Loanhead,S20000825,Loanhead,S19001025,Midlothian,S12000019,
Loans,S20000826,Loans,S19001026,South Ayrshire,S12000028,
Locharbriggs,S20000827,Locharbriggs,S19001027,Dumfries & Galloway,S12000006,
Lochgilphead,S20000828,Lochgilphead,S19001029,Argyll & Bute,S12000035,
Lochmaben,S20000829,Lochmaben,S19001030,Dumfries & Galloway,S12000006,
Lochwinnoch,S20000830,Lochwinnoch,S19001031,Renfrewshire,S12000038,
Lockerbie,S20000831,Lockerbie,S19001032,Dumfries & Galloway,S12000006,
Logan,S20000832,Logan,S19001033,East Ayrshire,S12000008,
Longforgan,S20000833,Longforgan,S19001034,Perth & Kinross,S12000024,
Longniddry,S20000834,Longniddry,S19001035,East Lothian,S12000010,
Longridge,S20000835,Longridge,S19001036,West Lothian,S12000040,
Longside,S20000836,Longside,S19001037,Aberdeenshire,S12000034,
Lossiemouth,S20000837,Lossiemouth,S19001038,Moray,S12000020,
Lower Largo and Lundin Links,S20000838,Lower Largo and Lundin Links,S19001039,Fife,S12000015,
Lumphanan,S20000839,Lumphanan,S19001040,Aberdeenshire,S12000034,
Luncarty,S20000840,Luncarty,S19001041,Perth & Kinross,S12000024,
Macduff,S20000841,Macduff,S19001042,Aberdeenshire,S12000034,
Macmerry,S20000842,Macmerry,S19001043,East Lothian,S12000010,
Mallaig,S20000843,Mallaig,S19001045,Highland,S12000017,
Mauchline,S20000844,Mauchline,S19001048,East Ayrshire,S12000008,
Maud,S20000845,Maud,S19001049,Aberdeenshire,S12000034,
Maybole,S20000846,Maybole,S19001051,South Ayrshire,S12000028,
Melrose,S20000847,Melrose,S19001053,Scottish Borders,S12000026,
Menstrie,S20000848,Menstrie,S19001054,Clackmannanshire,S12000005,
"Methil, Leven and Buckhaven",S20000849,Buckhaven,S19000729,Fife,S12000015,
"Methil, Leven and Buckhaven",S20000849,Kennoway,S19000962,Fife,S12000015,
"Methil, Leven and Buckhaven",S20000849,Leven,S19001018,Fife,S12000015,
"Methil, Leven and Buckhaven",S20000849,Methil,S19001055,Fife,S12000015,
"Methil, Leven and Buckhaven",S20000849,Windygates,S19001270,Fife,S12000015,
Methven,S20000850,Methven,S19001056,Perth & Kinross,S12000024,
Millport,S20000851,Millport,S19001058,North Ayrshire,S12000021,
Milnathort,S20000852,Milnathort,S19001060,Perth & Kinross,S12000024,
Milton and Kildary,S20000853,Milton and Kildary,S19001063,Highland,S12000017,
Milton of Campsie,S20000854,Milton of Campsie,S19001064,East Dunbartonshire,S12000045,
Milton of Leys,S20000855,Milton of Leys,S19001065,Highland,S12000017,
Mintlaw,S20000856,Mintlaw,S19001066,Aberdeenshire,S12000034,
Moffat,S20000857,Moffat,S19001067,Dumfries & Galloway,S12000006,
Moniaive,S20000858,Moniaive,S19001068,Dumfries & Galloway,S12000006,
"Montrose, Settlement of",S20000859,Ferryden and Inchbraoch,S19000873,Angus,S12000041,
"Montrose, Settlement of",S20000859,Montrose,S19001071,Angus,S12000041,
Moodiesburn,S20000860,Moodiesburn,S19001072,North Lanarkshire,S12000044,
Morningside,S20000861,Morningside,S19001073,North Lanarkshire,S12000044,
Mossblown,S20000862,Mossblown,S19001074,South Ayrshire,S12000028,
Mosstodloch,S20000863,Mosstodloch,S19001075,Moray,S12000020,
Motherwell and Bellshill,S20000864,Bellshill,S19000693,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,Carfin,S19000746,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,Holytown,S19000934,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,Motherwell,S19001076,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,New Stevenston,S19001091,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,Newarthill,S19001092,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,Newmains,S19001097,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,Viewpark,S19001247,North Lanarkshire,S12000044,
Motherwell and Bellshill,S20000864,Wishaw,S19001271,North Lanarkshire,S12000044,
Muir of Ord,S20000865,Muir of Ord,S19001077,Highland,S12000017,
Muirkirk,S20000866,Muirkirk,S19001079,East Ayrshire,S12000008,
Murthly,S20000867,Murthly,S19001080,Perth & Kinross,S12000024,
Muthill,S20000868,Muthill,S19001082,Perth & Kinross,S12000024,
Nairn,S20000869,Nairn,S19001083,Highland,S12000017,
Neilston,S20000870,Neilston,S19001084,East Renfrewshire,S12000011,
Netherburn,S20000871,Netherburn,S19001085,South Lanarkshire,S12000029,
Nethy Bridge,S20000872,Nethy Bridge,S19001087,Highland,S12000017,
New Cumnock,S20000873,New Cumnock,S19001088,East Ayrshire,S12000008,
New Deer,S20000874,New Deer,S19001089,Aberdeenshire,S12000034,
New Pitsligo,S20000875,New Pitsligo,S19001090,Aberdeenshire,S12000034,
Newburgh (Aberdeenshire),S20000876,Newburgh (Aberdeenshire),S19001093,Aberdeenshire,S12000034,
Newburgh (Fife),S20000877,Newburgh (Fife),S19001094,Fife,S12000015,
Newcastleton,S20000878,Newcastleton,S19001095,Scottish Borders,S12000026,
Newmachar,S20000879,Newmachar,S19001096,Aberdeenshire,S12000034,
Newmilns,S20000880,Newmilns,S19001099,East Ayrshire,S12000008,
Newport-on-Tay and Wormit,S20000881,Newport-on-Tay and Wormit,S19001100,Fife,S12000015,
Newton Stewart,S20000882,Newton Stewart,S19001102,Dumfries & Galloway,S12000006,
Newtonhill,S20000883,Newtonhill,S19001103,Aberdeenshire,S12000034,
Newtonmore,S20000884,Newtonmore,S19001104,Highland,S12000017,
Newtown St Boswells,S20000885,Newtown St Boswells,S19001105,Scottish Borders,S12000026,
Newtyle,S20000886,Newtyle,S19001106,Angus,S12000041,
North Berwick,S20000887,North Berwick,S19001107,East Lothian,S12000010,
North Kessock,S20000888,North Kessock,S19001108,Highland,S12000017,
North Queensferry,S20000889,North Queensferry,S19001109,Fife,S12000015,
"Oakley, Settlement of",S20000890,Carnock,S19000750,Fife,S12000015,
"Oakley, Settlement of",S20000890,Comrie (Fife),S19000777,Fife,S12000015,
"Oakley, Settlement of",S20000890,Oakley,S19001110,Fife,S12000015,
Oban,S20000891,Oban,S19001111,Argyll & Bute,S12000035,
Ochiltree,S20000892,Ochiltree,S19001112,East Ayrshire,S12000008,
Oldmeldrum,S20000893,Oldmeldrum,S19001114,Aberdeenshire,S12000034,
Ormiston,S20000894,Ormiston,S19001115,East Lothian,S12000010,
"Overtown, Settlement of",S20000895,Gowkthrapple,S19000911,North Lanarkshire,S12000044,
"Overtown, Settlement of",S20000895,Overtown,S19001116,North Lanarkshire,S12000044,
Pathhead,S20000896,Pathhead,S19001118,Midlothian,S12000019,
Patna,S20000897,Patna,S19001119,East Ayrshire,S12000008,
Peebles,S20000898,Peebles,S19001120,Scottish Borders,S12000026,
Pencaitland,S20000899,Pencaitland,S19001121,East Lothian,S12000010,
Penicuik,S20000900,Penicuik,S19001122,Midlothian,S12000019,
Perth,S20000901,Perth,S19001123,Perth & Kinross,S12000024,
"Peterculter, Settlement of",S20000902,Milltimber,S19001059,Aberdeen City,S12000033,
"Peterculter, Settlement of",S20000902,Peterculter,S19001124,Aberdeen City,S12000033,
Peterhead,S20000903,Peterhead,S19001125,Aberdeenshire,S12000034,
Pitlochry,S20000904,Pitlochry,S19001126,Perth & Kinross,S12000024,
Pitmedden,S20000905,Pitmedden,S19001127,Aberdeenshire,S12000034,
Plains,S20000906,Plains,S19001129,North Lanarkshire,S12000044,
Plean,S20000907,Plean,S19001130,Stirling,S12000030,
Port Bannatyne,S20000908,Port Bannatyne,S19001133,Argyll & Bute,S12000035,
Port Ellen,S20000909,Port Ellen,S19001134,Argyll & Bute,S12000035,
Portgordon,S20000910,Portgordon,S19001136,Moray,S12000020,
Portknockie,S20000911,Portknockie,S19001137,Moray,S12000020,
Portlethen (part),S20000912,Portlethen (Part),S19001138,Aberdeen City,S12000033,
Portlethen (part),S20000912,Portlethen (Part),S19001138,Aberdeenshire,S12000034,
Portpatrick,S20000913,Portpatrick,S19001139,Dumfries & Galloway,S12000006,
Portree,S20000914,Portree,S19001140,Highland,S12000017,
Portsoy,S20000915,Portsoy,S19001141,Aberdeenshire,S12000034,
Potterton,S20000916,Potterton,S19001142,Aberdeenshire,S12000034,
Prestonpans,S20000917,Prestonpans,S19001143,East Lothian,S12000010,
Quarrier's Village,S20000918,Quarrier's Village,S19001145,Inverclyde,S12000018,
Quarter,S20000919,Quarter,S19001146,South Lanarkshire,S12000029,
Queenzieburn,S20000920,Queenzieburn,S19001147,North Lanarkshire,S12000044,
Ratho,S20000921,Ratho,S19001148,"Edinburgh, City of",S12000036,
Ratho Station,S20000922,Ratho Station,S19001149,"Edinburgh, City of",S12000036,
Rigside,S20000923,Rigside,S19001155,South Lanarkshire,S12000029,
Rosehearty,S20000924,Rosehearty,S19001156,Aberdeenshire,S12000034,
Rosemarkie,S20000925,Rosemarkie,S19001157,Highland,S12000017,
Rosewell,S20000926,Rosewell,S19001158,Midlothian,S12000019,
Roslin,S20000927,Roslin,S19001159,Midlothian,S12000019,
Rosneath,S20000928,Rosneath,S19001160,Argyll & Bute,S12000035,
Rothes,S20000929,Rothes,S19001162,Moray,S12000020,
Rothesay,S20000930,Rothesay,S19001163,Argyll & Bute,S12000035,
Rothienorman,S20000931,Rothienorman,S19001164,Aberdeenshire,S12000034,
Saline,S20000932,Saline,S19001167,Fife,S12000015,
Salsburgh,S20000933,Salsburgh,S19001168,North Lanarkshire,S12000044,
Sandhaven,S20000934,Sandhaven,S19001171,Aberdeenshire,S12000034,
Sanquhar,S20000935,Sanquhar,S19001173,Dumfries & Galloway,S12000006,
Scalloway,S20000936,Scalloway,S19001174,Shetland Islands,S12000027,
Scone,S20000937,Scone,S19001175,Perth & Kinross,S12000024,
Seafield,S20000938,Seafield,S19001176,West Lothian,S12000040,
Selkirk,S20000939,Selkirk,S19001177,Scottish Borders,S12000026,
Shieldhill,S20000940,Shieldhill,S19001178,Falkirk,S12000014,
"Shotts, Dykehead and Stane",S20000941,"Shotts, Dykehead and Stane",S19001179,North Lanarkshire,S12000044,
Slamannan,S20000942,Slamannan,S19001181,Falkirk,S12000014,
South Queensferry,S20000943,South Queensferry,S19001183,"Edinburgh, City of",S12000036,
Spean Bridge,S20000944,Spean Bridge,S19001184,Highland,S12000017,
Springfield,S20000945,Springfield,S19001185,Fife,S12000015,
Springside,S20000946,Springside,S19001186,North Ayrshire,S12000021,
St Andrews,S20000947,St Andrews,S19001187,Fife,S12000015,
St Boswells,S20000948,St Boswells,S19001188,Scottish Borders,S12000026,
St Combs,S20000949,St Combs,S19001189,Aberdeenshire,S12000034,
St Cyrus,S20000950,St Cyrus,S19001190,Aberdeenshire,S12000034,
St Fergus,S20000951,St Fergus,S19001191,Aberdeenshire,S12000034,
St Madoes and Glencarse,S20000952,St Madoes and Glencarse,S19001192,Perth & Kinross,S12000024,
St Monans,S20000953,St Monans,S19001193,Fife,S12000015,
Stanley,S20000954,Stanley,S19001195,Perth & Kinross,S12000024,
"Steornabhagh (Stornoway), Settlement of",S20000955,"Newmarket, Lacasdal and Bruach Mairi (Newmarket, Laxdale and Marybank)",S19001098,Eilean Siar,S12000013,
"Steornabhagh (Stornoway), Settlement of",S20000955,Sanndabhaig (Sandwick),S19001172,Eilean Siar,S12000013,
"Steornabhagh (Stornoway), Settlement of",S20000955,Steornabhagh (Stornoway),S19001197,Eilean Siar,S12000013,
Stewarton,S20000956,Stewarton,S19001200,East Ayrshire,S12000008,
"Stirling, Settlement of",S20000957,Bannockburn,S19000685,Stirling,S12000030,
"Stirling, Settlement of",S20000957,Bridge of Allan,S19000718,Stirling,S12000030,
"Stirling, Settlement of",S20000957,Stirling,S19001201,Stirling,S12000030,
Stonehaven,S20000958,Stonehaven,S19001202,Aberdeenshire,S12000034,
Stonehouse,S20000959,Stonehouse,S19001203,South Lanarkshire,S12000029,
"Stoneyburn, Settlement of",S20000960,Addiebrownhill,S19000639,West Lothian,S12000040,
"Stoneyburn, Settlement of",S20000960,Stoneyburn,S19001204,West Lothian,S12000040,
Stow,S20000961,Stow,S19001205,Scottish Borders,S12000026,
Stranraer,S20000962,Stranraer,S19001206,Dumfries & Galloway,S12000006,
Strathaven,S20000963,Strathaven,S19001207,South Lanarkshire,S12000029,
Strathblane,S20000964,Strathblane,S19001208,Stirling,S12000030,
Strathkinness,S20000965,Strathkinness,S19001209,Fife,S12000015,
Strathmiglo,S20000966,Strathmiglo,S19001210,Fife,S12000015,
Strathpeffer,S20000967,Strathpeffer,S19001211,Highland,S12000017,
Strichen,S20000968,Strichen,S19001212,Aberdeenshire,S12000034,
Stromness,S20000969,Stromness,S19001213,Orkney Islands,S12000023,
Stuartfield,S20000970,Stuartfield,S19001214,Aberdeenshire,S12000034,
Symington (South Ayrshire),S20000971,Symington (South Ayrshire),S19001215,South Ayrshire,S12000028,
Symington (South Lanarkshire),S20000972,Symington (South Lanarkshire),S19001216,South Lanarkshire,S12000029,
Tain,S20000973,Tain,S19001217,Highland,S12000017,
Tarbert,S20000974,Tarbert,S19001218,Argyll & Bute,S12000035,
Tarbolton,S20000975,Tarbolton,S19001219,South Ayrshire,S12000028,
Tarland,S20000976,Tarland,S19001220,Aberdeenshire,S12000034,
Tarves,S20000977,Tarves,S19001221,Aberdeenshire,S12000034,
Tayport,S20000978,Tayport,S19001222,Fife,S12000015,
Thankerton,S20000979,Thankerton,S19001223,South Lanarkshire,S12000029,
Thornhill (Dumfries and Galloway),S20000980,Thornhill (Dumfries and Galloway),S19001224,Dumfries & Galloway,S12000006,
Thornhill (Stirling),S20000981,Thornhill (Stirling),S19001225,Stirling,S12000030,
Thorntonhall,S20000982,Thorntonhall,S19001228,South Lanarkshire,S12000029,
Thurso,S20000983,Thurso,S19001229,Highland,S12000017,
Tighnabruaich,S20000984,Tighnabruaich,S19001230,Argyll & Bute,S12000035,
"Tillicoultry, Settlement of",S20000985,Coalsnaughton,S19000770,Clackmannanshire,S12000005,
"Tillicoultry, Settlement of",S20000985,Tillicoultry,S19001231,Clackmannanshire,S12000005,
Tobermory,S20000986,Tobermory,S19001232,Argyll & Bute,S12000035,
Torphichen,S20000987,Torphichen,S19001233,West Lothian,S12000040,
Torphins,S20000988,Torphins,S19001234,Aberdeenshire,S12000034,
Torrance,S20000989,Torrance,S19001235,East Dunbartonshire,S12000045,
Townhill,S20000990,Townhill,S19001237,Fife,S12000015,
Tranent,S20000991,Tranent,S19001238,East Lothian,S12000010,
Troon,S20000992,Troon,S19001239,South Ayrshire,S12000028,
"Tullibody, Settlement of",S20000993,Glenochil Village,S19000905,Clackmannanshire,S12000005,
"Tullibody, Settlement of",S20000993,Tullibody,S19001240,Clackmannanshire,S12000005,
Turriff,S20000994,Turriff,S19001241,Aberdeenshire,S12000034,
Twechar,S20000995,Twechar,S19001242,East Dunbartonshire,S12000045,
Ullapool,S20000996,Ullapool,S19001245,Highland,S12000017,
Uplawmoor,S20000997,Uplawmoor,S19001246,East Renfrewshire,S12000011,
Vale of Leven,S20000998,Alexandria,S19000642,West Dunbartonshire,S12000039,
Vale of Leven,S20000998,Balloch and Haldane,S19000677,West Dunbartonshire,S12000039,
Vale of Leven,S20000998,Bonhill,S19000708,West Dunbartonshire,S12000039,
Vale of Leven,S20000998,Renton,S19001153,West Dunbartonshire,S12000039,
Walkerburn,S20000999,Walkerburn,S19001248,Scottish Borders,S12000026,
Waterfoot (part),S20001000,Waterfoot (part),S19001250,East Renfrewshire,S12000011,
Waterfoot (part),S20001000,Waterfoot (part),S19001250,South Lanarkshire,S12000029,
Wattston and Greengairs,S20001001,Wattston and Greengairs,S19001251,North Lanarkshire,S12000044,
Wellbank,S20001002,Wellbank,S19001252,Angus,S12000041,
"Wemyss Bay, Settlement of (part)",S20001003,Wemyss Bay,S19001253,Inverclyde,S12000018,
"Wemyss Bay, Settlement of (part)",S20001003,Skelmorlie,S19001180,North Ayrshire,S12000021,
West Barns,S20001004,West Barns,S19001254,East Lothian,S12000010,
"West Calder, Settlement of",S20001005,Polbeth,S19001131,West Lothian,S12000040,
"West Calder, Settlement of",S20001005,West Calder,S19001255,West Lothian,S12000040,
West Kilbride,S20001006,West Kilbride,S19001256,North Ayrshire,S12000021,
West Linton,S20001007,West Linton,S19001257,Scottish Borders,S12000026,
Westhill (Aberdeenshire),S20001008,Westhill (Aberdeenshire),S19001258,Aberdeenshire,S12000034,
"Whitburn, Settlement of",S20001009,East Whitburn,S19000852,West Lothian,S12000040,
"Whitburn, Settlement of",S20001009,Whitburn,S19001261,West Lothian,S12000040,
Whitecraig,S20001010,Whitecraig,S19001262,East Lothian,S12000010,
Whitecross,S20001011,Whitecross,S19001263,Falkirk,S12000014,
Whitehills,S20001012,Whitehills,S19001264,Aberdeenshire,S12000034,
Whithorn,S20001013,Whithorn,S19001265,Dumfries & Galloway,S12000006,
Whiting Bay,S20001014,Whiting Bay,S19001266,North Ayrshire,S12000021,
Wick,S20001015,Wick,S19001267,Highland,S12000017,
Wigtown,S20001016,Wigtown,S19001268,Dumfries & Galloway,S12000006,
Winchburgh,S20001017,Winchburgh,S19001269,West Lothian,S12000040,
Yetholm,S20001018,Yetholm,S19001272,Scottish Borders,S12000026,
,,,,,,
Footnotes,,,,,,
1) Settlements and localities which cross Council area boundaries have been split into parts.,,,,,,
2) Where the locality within a settlement is not co-incidental but shares a name then the settlement has been explicitly identified,,,,,,
,,,,,,
© Crown Copyright 2014,,,,,,
